ID	AcceptedTaxonID	Genus	SubGenusName	SpeciesEpithet	AuthorString	InfraSpecies	InfraSpeciesMarker	InfraSpeciesAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUID
599	420	Macrozamia		preissii	Lehm.					5	
588	587	Macrozamia		tridentata	(Willd.) Regel					5	
748	441	Palmifolium		angustifolium	(Jacq.) Kuntze					5	
749	442	Palmifolium		angustissimum	(Miq.) Kuntze					5	
750	444	Palmifolium		bolivianum	(Brongn.) Kuntze					5	
751	449	Palmifolium		chigua	(Seem.) Kuntze					5	
752	457	Palmifolium		debile	(Aiton) Kuntze					5	
753	466	Palmifolium		fischeri	(Miq.) Kuntze					5	
754	467	Palmifolium		floridanum	(A.DC.) Kuntze					5	
755	468	Palmifolium		furfuraceum	(L.f.) Kuntze					5	
756	470	Palmifolium		galeotti	(de Vriese) Kuntze					5	
757	485	Palmifolium		integrifolium	(L.f.) Kuntze					5	
758	489	Palmifolium		kickxii	(Miq.) Kuntze					5	
759	493	Palmifolium		latifolium	(Lodd. ex Miq.) Kuntze					5	
760	502	Palmifolium		loddigesii	(Miq.) Kuntze					5	
761	512	Palmifolium		medium	(Jacq.) Kuntze					5	
762	515	Palmifolium		mexicanum	(Miq.) Kuntze					5	
763	518	Palmifolium		multifoliolatum	(A.DC.) Kuntze					5	
764	519	Palmifolium		muricatum	(Willd.) Kuntze					5	
765	531	Palmifolium		ottonis	(Miq.) Kuntze					5	
766	535	Palmifolium		poeppigianum	(Mart. & Eichler) Kuntze					5	
767	541	Palmifolium		pseudoparasiticum	(J.Yates) Kuntze					5	
768	542	Palmifolium		pumilum	(L.) Kuntze					5	
769	545	Palmifolium		pygmaeum	(Sims) Kuntze					5	
770	552	Palmifolium		skinneri	(Warsz. ex A.Dietr.) Kuntze					5	
771	554	Palmifolium		sparteum	(A.DC.) Kuntze					5	
772	558	Palmifolium		strictum	(Miq.) Kuntze					5	
773	560	Palmifolium		tenue	(Willd.) Kuntze					5	
774	13	Palmifolium		yatesii	(Miq.) Kuntze					5	
429	248	Platyzamia		rigida	Zucc.					5	
431	430	Stangeria		katzeri	Regel					5	
432	430	Stangeria		paradoxa	T.Moore					5	
433	430	Stangeria		schizodon	W.Bull					5	
437	542	Zamia		allison-armourii	Millsp.					5	
439	464	Zamia		amblyphyllidia	D.W.Stev.					5	
715	441	Zamia		angustifolia		angustifolia	var.			5	
584	442	Zamia		angustifolia		angustissima	var.	(Miq.) Regel		5	
745	467	Zamia		angustifolia		floridana	var.	(A.DC.) Regel		5	
746	558	Zamia		angustifolia		stricta	var.	(Miq.) Regel		5	
583	13	Zamia		angustifolia		yatesii	var.	(Miq.) Regel		5	
442	441	Zamia		angustissima	Miq.					5	
443	535	Zamia		baraquiniana	Mast.					5	
446	529	Zamia		bussellii	Schutzman, R.S.Adams, J.L.Haynes & Whitelock					5	
426	74	Zamia		caffra	(Thunb.) Thunb.					5	
447	427	Zamia		calocoma	Miq.					5	
448	545	Zamia		chamberlainii	J.Schust.					5	
452	563	Zamia		cupatiensis	Ducke					5	
454	285	Zamia		cycadifolia	Jacq.					5	
456	280	Zamia		cycadis	L.f.					5	
457	542	Zamia		debilis	L.f.					5	
459	485	Zamia		dentata	Voigt					5	
467	485	Zamia		floridana	A.DC.					5	
716	467	Zamia		floridana		floridana	var.			5	
787	467	Zamia		floridana		purshiana	var.	J.Schust.		5	
788	551	Zamia		floridana		purshiana	var.	J.Schust.		5	
242	564	Zamia		floridana		umbrosa	var.	(Small) D.B.Ward		5	
717	468	Zamia		furfuracea		furfuracea	var.			5	
469	468	Zamia		furfuracea		trewii	var.	Miq.		5	
470	502	Zamia		galeotti	de Vriese					5	
474	441	Zamia		guggenheimiana	Carabia					5	
475	519	Zamia		gutierrezii	Sauvalle					5	
