AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	SpeciesEpithet	AuthorString	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialists	LTSDate	SpeciesURL	GSDTaxonGUID	GSDNameGUID
142	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		javana	(Miq.) de Laub.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
145	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		lacrimans	A.Lindstr. & K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
146	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		lane-poolei	C.A.Gardner		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
653	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		laotica	Aver., T.H.Nguyên & S.K.Nguyên		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
147	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		lindstromii	S.L.Yang, K.D.Hill & T.H.Nguyên		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
154	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		maconochiei	Chirgwin & K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
157	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		macrocarpa	Griff.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
159	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		media	R.Br.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
572	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		media x C. ophiolitica			1	0	0	1		Hybrid formula: Cycas media x C. ophiolitica	Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
162	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		megacarpa	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
163	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		micholitzii	Dyer		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
