ReferenceID	Authors	Year	Title	Details
Cyd-Ref-108	K.D.Hill	1999		In: Brittonia 51(1): 64, fig. 8e,f,i
Cyd-Ref-109	K.D.Hill, T.H.Nguyên & P.K.Lôc	2004		In: Bot. Rev. (Lancaster) 70(2): 142-144, fig. 2
Cyd-Ref-797	Bruant	1888		In: Bull. Soc. Bot. France 35: 246
Cyd-Ref-110	K.D.Hill & S.L.Yang	2004		In: Bot. Rev. (Lancaster) 70(2): 178-179, fig. 14
Cyd-Ref-111	Chirgwin ex Chirgwin & Wigston	1993		In: J. Adelaide Bot. Gard. 15(2): 147
Cyd-Ref-112	K.D.Hill	1992		In: Telopea 5(1): 197-198, fig. 13
Cyd-Ref-113	Hung T.Chang, Y.C.Zhong & Z.F.Lu	1999		In: Acta Sci. Nat. Univ. Sunyatseni 38(3): 121122
Cyd-Ref-114	P.I.Forst.	2001		In: Austrobaileya 6(1): 153, figs. 1-5
Cyd-Ref-115	K.D.Hill	1995		In: Proc. Third Int. Conf. Cycad Biol.: 150
Cyd-Ref-792	R.C.Srivast. & Jana	2014		In: Indian J. Pl. Sci. [Jaipur] 3(2): 151-153, t. II
Cyd-Ref-116	Y.C.Zhong & C.J.Chen	1997		In: Acta Phytotax. Sin. 35(6): 571
Cyd-Ref-117	P.I.Forst.	1995		In: Austrobaileya 4(3): 345-352, figs. 1-5
Cyd-Ref-812	L.J.Singh	2017		In: Nordic J. Bot. 35(1): 6976. doi:10.1111/njb.01284
Cyd-Ref-118	Z.T.Guan & G.D.Tao	1995		In: Sichuan Forest. Surv. Design 1995(4): 1
Cyd-Ref-820	P.I.Forst. & B.Gray	2017		In: Austrobaileya 10(1): 74-84
Cyd-Ref-119	K.D.Hill, T.H.Nguyên & P.K.Lôc	2004		In: Bot. Rev. (Lancaster) 70(2): 157-160, fig. 7
Cyd-Ref-120	de Laub.	1998		In: Blumea 43(2): 372
Cyd-Ref-121	A.Lindstr. & K.D.Hill	2003		In: Brittonia 54(4): 301, fig. 3 (2002 publ. 2003)
Cyd-Ref-122	D.Yue Wang	1996		In: Cycads China: 51
Cyd-Ref-123	D.Yue Wang	1996		In: Cycads China: 54
Cyd-Ref-124	K.D.Hill	1999		In: Kew Bull. 54(1): 209
Cyd-Ref-125	F.N.Wei	1994		In: Guihaia 14(4): 300, fig. 1
Cyd-Ref-126	K.D.Hill, T.H.Nguyên & P.K.Lôc	2004		In: Bot. Rev. (Lancaster) 70(2): 145-146, figs. 2-3
Cyd-Ref-127	W.Fitzg.	1918		In: J. Proc. Roy. Soc. Western Australia 3: 108
Cyd-Ref-128	Hort. ex Miq.	1840		In: Comm. Phytogr.: 127
Cyd-Ref-129	Miq.	1863		In: Verslagen Meded. Afd. Natuurk. Kon. Akad. Wetensch. 15: 366-367
Cyd-Ref-132	Y.Y.Huang, Y.C.Zhong & Z.F.Lu	2008		In: J. Pl. Genet. Resources 9(4): 525-527
Cyd-Ref-130	Regel	1876		In: Trudy Imp. S.-Peterburgsk. Bot. Sada 4(4): 282
Cyd-Ref-688		1876		In: Trudy Imp. S.-Peterburgsk. Bot. Sada 4(4): 282
Cyd-Ref-131	Regel	1876		In: Trudy Imp. S.-Peterburgsk. Bot. Sada 4(4): 282
Cyd-Ref-133	K.M.Lan & R.F.Zou	1983		In: Acta Phytotax. Sin. 21(2): 209-210
Cyd-Ref-134	C.J.Chen	1975		In: Acta Phytotax. Sin. 13(4): 82, t. 2, figs. 5-6
Cyd-Ref-135	N.Liu	2004		In: Proc. Sixth Int. Conf. Cycad Biol.: 3
Cyd-Ref-689		2004		In: Proc. Sixth Int. Conf. Cycad Biol.: 3
Cyd-Ref-136	P.K.Lôc & T.H.Nguyên	2004		In: Bot. Rev. (Lancaster) 70(2): 153-155, fig. 5
Cyd-Ref-137	S.Y.Yang & S.L.Yang ex D.Yue Wang	1996		In: Cycads China: 62
Cyd-Ref-138	C.Presl.	1849		In: Epimel. Bot.: 238
Cyd-Ref-139	Craib	1912		In: Bull. Misc. Inform. Kew 1912(10): 434-435
Cyd-Ref-140	A.Lindstr. & K.D.Hill	2007		In: Telopea 11(4): 481-483, fig. 3
Cyd-Ref-141	Lour.	1793		In: Fl. Cochinch. 2: 632
Cyd-Ref-142	de Laub.	1996		In: Cycads China: 65
Cyd-Ref-143	Griff.	1854		In: Not. Pl. Asiat. 4: 9-10, pl. 360, figs. 1-2, pl. 362, fig. 1
Cyd-Ref-144	F.Muell.	1882		In: Australas. Chem. Druggist: 16
Cyd-Ref-145	A.Lindstr. & K.D.Hill	2008		In: Telopea 12(1): 136-138, fig. 5
Cyd-Ref-146	C.A.Gardner	1923		In: For. Dep. Bull., W. Austral. 32: 30-32, fig. e
Cyd-Ref-653	Aver., T.H.Nguyên & S.K.Nguyên	2014		In: Nordic J. Bot. [epublished 10 Sep 2014, DOI: 10.1111/njb.00498]
Cyd-Ref-147	S.L.Yang, K.D.Hill & T.H.Nguyên	1997		In: Novon 7(2): 213-215, fig. 1
Cyd-Ref-148	G.A.Fu	2004		In: Bull. Bot. Res., Harbin 24(4): 387-388
Cyd-Ref-149	K.D.Hill	1999		In: Brittonia 51(1): 70-72, fig. 11
Cyd-Ref-150	Hung T.Chang, Y.C.Zhong & Y.Y.Huang	1998		In: Acta Sci. Nat. Univ. Sunyatseni 37(4): 6
Cyd-Ref-151	D.Yue Wang	1996		In: Cycads China: 68
Cyd-Ref-152	F.N.Wei	1997		In: Guihaia 17(3): 209
Cyd-Ref-153	Hung T.Chang & Y.C.Zhong	1997		In: Acta Sci. Nat. Univ. Sunyatseni 36(3): 68
Cyd-Ref-154	Chirgwin & K.D.Hill	1996		In: Telopea 7(1): 48-49, fig. 22
Cyd-Ref-155	K.D.Hill	1996		In: Telopea 7(1): 49-51
Cyd-Ref-575		1996		In: Telopea 7(1): 48-49, fig. 22
Cyd-Ref-156	K.D.Hill	1996		In: Telopea 7(1) : 51-52, fig. 23
Cyd-Ref-157	Griff.	1854		In: Not. Pl. Asiat. 4: 11-14, pl. 362, fig. 2
Cyd-Ref-158	Miq.	1840		In: Comm. Phytogr.: 127
Cyd-Ref-159	R.Br.	1810		In: Prodr. Fl. Nov. Holland. 1: 348
Cyd-Ref-160	K.D.Hill	1996		In: Telopea 7(1): 15-16
Cyd-Ref-161	K.D.Hill	1996		In: Telopea 7(1): 14-15, fig. 6
Cyd-Ref-576		1996		In: Telopea 7(1): 12-14, fig. 5
Cyd-Ref-800	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 78
Cyd-Ref-801	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 78
Cyd-Ref-798	J.Schust.	1932		In: in Engler, Pflanzenr. 99: 78
