SPNUMBER	TAXSTAT	SYNOF	SYNCAT	FAMILY	SPECIES	GENUS	SP1	AUTHOR1	RANK1	SP2	AUTHOR2	RANK2	SP3	AUTHOR3	RANK3	SP4	AUTHOR4	CITATION	YEAR	IUCN	COUNTRY
97	syn	235	hom	Cycadaceae	Cycas circinalis subsp. riuminiana var. curranii	Cycas	circinalis	L.	subsp.	riuminiana	(Porte ex Regel) J.Schust.	var.	curranii	J.Schust.	f.	graminea	J.Schust.	in Engler, Pflanzenr. 99: 69	1932		
98	syn	115	bas	Cycadaceae	Cycas circinalis subsp. riuminiana var. curranii	Cycas	circinalis	L.	subsp.	riuminiana	(Porte ex Regel) J.Schust.	var.	curranii	J.Schust.				in Engler, Pflanzenr. 99: 69	1932		
99	syn	120	het	Cycadaceae	Cycas circinalis subsp. riuminiana var. curranii	Cycas	circinalis	L.	subsp.	riuminiana	(Porte ex Regel) J.Schust.	var.	curranii	J.Schust.	f.	maritima	J.Schust.	in Engler, Pflanzenr. 99: 69	1932		
724	syn	95	hom	Cycadaceae	Cycas circinalis subsp. riuminiana var. riuminiana	Cycas	circinalis	L.	subsp.	riuminiana		var.	riuminiana					in Engler, Pflanzenr. 99: 69	1932		
100	syn	206	hom	Cycadaceae	Cycas circinalis subsp. seemannii	Cycas	circinalis	L.	subsp.	seemannii	(Regalado) J.Schust.							in Engler, Pflanzenr. 99: 71, 73	1932		
101	syn	228	hom	Cycadaceae	Cycas circinalis subsp. thouarsii	Cycas	circinalis	L.	subsp.	thouarsii	(R.Br. ex Gaudich.) Engl.							Pflanzenw. Ost-Afrikas 2(1): 82	1908		
726	syn	87	syn	Cycadaceae	Cycas circinalis subsp. vera	Cycas	circinalis	L.	subsp.	vera	J.Schust.							in Engler, Pflanzenr. 99: 66-67	1932		
102	syn	67	hom	Cycadaceae	Cycas circinalis subsp. vera var. beddomei	Cycas	circinalis	L.	subsp.	vera	J.Schust.	var.	beddomei	(Dyer) J.Schust.				in Engler, Pflanzenr. 99: 67	1932		
103	syn	183	hom	Cycadaceae	Cycas circinalis subsp. vera var. pectinata	Cycas	circinalis	L.	subsp.	vera	J.Schust.	var.	pectinata	(Griff.) J.Schust.				in Engler, Pflanzenr. 99: 68	1932		
725	syn	726	hom	Cycadaceae	Cycas circinalis subsp. vera var. vera	Cycas	circinalis	L.	subsp.	vera		var.	vera					in Engler, Pflanzenr. 99: 67	1932		
104	syn	87	het	Cycadaceae	Cycas circinalis var. angustifolia	Cycas	circinalis	L.	var.	angustifolia	Miq.							Comm. Phytogr.: 119	1840		
686	syn	87	hom	Cycadaceae	Cycas circinalis var. circinalis	Cycas	circinalis	L.	var.	circinalis								Comm. Phytogr.: 119	1840		
105	syn	142	bas	Cycadaceae	Cycas circinalis var. javana	Cycas	circinalis	L.	var.	javana	Miq.							Monogr. Cycad.: 28. t. 1, figs. t, u, t II, fig. e1	1842		
106	syn	673	bas	Cycadaceae	Cycas circinalis var. orixensis	Cycas	circinalis	L.	var.	orixensis	Haines							Bot. Bihar Orissa 6: 1228	1924		
107	acc	0		Cycadaceae	Cycas clivicola	Cycas	clivicola	K.D.Hill										Brittonia 51(1): 62-63, fig. 8a-d, g-h	1999	LC	Cambodia, Malaysia (Kedah, Perak, Selangor), Thailand (Chumphon, Narathiwat, Phangnga, Phuket, Prachin Buri, Rayong, Ranong, Trang), Vietnam (An Giang, Kien Giang)
687	syn	107	hom	Cycadaceae	Cycas clivicola subsp. clivicola	Cycas	clivicola	K.D.Hill	subsp.	clivicola								Brittonia 51(1): 64	1999		
